"status","mentioned_name","match_count","matched_people","years","candidate_names","relationships","claim_texts"
"not_found","丁連宏","0","","2018 | 2022","蔡秋蘭","丈夫","丈夫是前西港鄉代會主席丁連宏 | 丈夫是曾任西港鄉代會主席的丁連宏"
"not_found","尤世景","0","","2018 | 2022","尤碧鈴","爸爸 | 父親","爸爸是228事件受難者、9屆縣議員、2屆鎮民代表尤世景 | 父親是228事件受難者、9屆縣議員、2屆鎮民代表尤世景"
"not_found","巴燕達魯","0","","2018","寶杜・巴燕 Bawtu．Payen","爸爸","爸爸是2屆立委巴燕．達魯"
"not_found","方隆盛","0","","2018 | 2022","方一峰","爸爸 | 父親","爸爸是5屆議員方隆盛 | 父親是曾任5屆議員的方隆盛"
"not_found","牛廉","0","","2018 | 2022","牛煦庭","爸爸 | 父親","爸爸是前桃園縣議會秘書、立委呂玉玲服務處主任、新黨創黨元老牛廉 | 父親是曾任桃園縣議會秘書、新黨創黨元老的牛廉"
"not_found","王方員","0","","2018 | 2022","王耀裕","四叔","四叔是縣議員及2屆林園鄉長王方員"
"not_found","王世雄","0","","2022","鄭東元","表弟","表弟是國民黨前立委王志雄、王世雄"
"not_found","王主安","0","","2018 | 2022","王耀裕","三叔","三叔王主安曾任高雄縣瓦斯公會理事長"
"found","王仙蓮","1","王仙蓮 [ab54d7c1-605f-4b1f-a36b-dedd93a1ad63]","2022","蘇偉恩","母親","母親是曾任議員、本次第13選區參選人的王仙蓮"
"found","王平川","1","王平川 [8fb7a09c-9916-4e65-bdde-b1d3f8963e84]","2022","蔣琦君","丈夫","丈夫是曾任台南市府市政顧問、民進黨台南市黨部佳里區主任、代表民進黨參選議員落敗的王平川"
"not_found","王玉雲","0","","2022","鄭東元","舅舅","舅舅是前高雄市長王玉雲"
"not_found","王志雄","0","","2022","鄭東元","表弟","表弟是國民黨前立委王志雄、王世雄"
"not_found","王南榮","0","","2018 | 2022","王耀裕","二叔","二叔是2屆林園鄉民代表王南榮"
"found","王秋冬","1","王秋冬 [e388be62-e955-4bc2-b977-06a4b2e8f4d6]","2018 | 2022","朱暖英","丈夫","丈夫是台中市民政局局長、民政處處長、3屆議員王秋冬"
"not_found","王峻潭","0","","2018","王開玹","爸爸","爸爸是4屆議員王峻潭"
"found","王浩宇","1","王浩宇 [582e19ec-93f1-4f55-92bf-5e1bbe50a709]","2022","邱仁德","表親","表親是曾任桃園市議員的王浩宇"
"not_found","王秝毅","0","","2018","吳宜昌","老婆","老婆是梧棲農會總幹事王秝毅"
"not_found","王國發","0","","2018 | 2022","王耀裕","爸爸 | 父親","爸爸是在縣府建設局服務至退休的王國發 | 父親是在縣府建設局服務至退休的王國發"
"not_found","王銓榮","0","","2018 | 2022","王威元","爸爸 | 父親","爸爸是前縣議員王銓榮 | 父親是前縣議員王銓榮"
"found","朱立倫","1","朱立倫 [0e20421e-370a-4913-a679-d3f2cbcc9ec1]","2022","李婉鈺","表姐夫","表姐夫是國民黨主席朱立倫"
"not_found","朱安雄","0","","2018 | 2022","朱挺玗","爸爸 | 父親","爸爸是監察委員、6屆議員朱安雄 | 父親是監察委員、國民黨前議員朱安雄"
"not_found","江正吉","0","","2018 | 2022","江肇國","爸爸 | 父親","爸爸是前議員江正吉 | 父親是前議員江正吉"
"found","江啟臣","1","江啟臣 [7a4d2370-42b0-4acf-9b41-545eb1905cec]","2018 | 2022","劉哲彰","姐夫","姐夫是立委、國民黨立法院黨團總召集人江啟臣 | 姐夫是國民黨立委江啟臣"
"ambiguous_same_name","江惠貞","2","江惠貞 [4c2a4176-c754-40a1-b7af-d971511f78f9] | 江惠貞 [f9c9d911-4197-40b5-9310-fdd190ec7109]","2018 | 2022","江怡臻","姑姑","姑姑是前立委、板橋市市長、板橋區區長江惠貞"
"not_found","何利偉","0","","2018","鍾佩玲","長子","丈夫是3屆立委薛凌長子何利偉"
"found","何志偉","1","何志偉 [6d1ca7b6-6794-408c-b4c8-2fc6112a526c]","2018 | 2022","鍾佩玲","小叔","小叔是2屆議員何志偉 | 小叔是2屆議員、民進黨立委何志偉"
"found","何春木","1","何春木 [01a59326-a369-47ff-85fe-01645b4091b2]","2018 | 2022","何敏誠 | 何昆霖","爸爸 | 祖父","爸爸是民進黨創黨大老、國策顧問何春木 | 祖父是民進黨大老、前議員何春木"
"found","何敏誠","1","何敏誠 [15ec152c-8f32-4471-97b2-e0711c9b4ae7]","2022","何昆霖","父親","父親是7屆議員何敏誠"
"not_found","何敏豪","0","","2018 | 2022","何敏誠 | 何昆霖","弟弟 | 叔叔","弟弟是2屆立委、國大代表何敏豪 | 叔叔是前立委何敏豪"
"not_found","何勝雄","0","","2018","何堅心","哥哥","哥哥是3屆縣議員、5屆鳥松鄉代表何勝雄"
"not_found","吳伯雄","0","","2018 | 2022","吳志剛","爸爸 | 父親","爸爸是前國民黨黨主席吳伯雄 | 父親是前國民黨黨主席吳伯雄"
