"research_id","status","category","person_name","canonical_person_id","years","city","claim_text","search_query","best_source_tier","best_source_name","best_source_url","best_evidence_value","best_match_score","original_source_url","external_research_outcome","external_research_notes"
"tnl-dark-guide-2022-txg-2-3-涉案紀錄-1","manual_review","涉案紀錄","尤碧鈴","6e26b9b0-a4df-43c0-be3b-c8a635bba6fe","2022","台中市","因樁腳買票賄選案，遭判當選無效。","""尤碧鈴"" ""因樁腳買票賄選案，遭判當選無效。"" 台中市","official","law.judicial.gov.tw","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCHV,108%2c%e9%81%b8%e4%b8%8a%2c30%2c20191231%2c1","因樁腳買票賄選案，遭判當選無效。","1","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCHV,108%2c%e9%81%b8%e4%b8%8a%2c30%2c20191231%2c1","",""
"tnl-dark-guide-2022-tnn-2-7-涉案紀錄-1","manual_review","涉案紀錄","方一峰","5a99cf63-e406-4752-807c-6d0fa1b2ee03","2022","台南市","樁腳2005年賄選，2007年11月判決當選無效確定。","""方一峰"" ""樁腳2005年賄選，2007年11月判決當選無效確定。"" 台南市","official","law.judicial.gov.tw","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TNHV,96%2c%e9%81%b8%e4%b8%8a%2c11%2c20071113%2c1","樁腳2005年賄選，2007年11月判決當選無效確定。","1","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TNHV,96%2c%e9%81%b8%e4%b8%8a%2c11%2c20071113%2c1","",""
"tnl-dark-guide-2018-tnn-2-14-涉案紀錄-1","not_found_after_stop_loss","涉案紀錄","方一峰","5a99cf63-e406-4752-807c-6d0fa1b2ee03","2018","台南市","樁腳買票／一審判刑6個月、當選無效","""方一峰"" ""樁腳買票／一審判刑6個月、當選無效"" 台南市","","","","","","","not_found_after_stop_loss","搜尋結果未找到可直接對應此人與此案的獨立可靠來源；同名的較新議長選舉案不是同一事件。"
"tnl-dark-guide-2022-tpe-4-6-涉案紀錄-2","manual_review","涉案紀錄","王世堅","d888dcb7-abda-48fd-8cd0-b973e0cf43e0","2022","台北市","日成營造公司聘僱許可失效之外國人，違反《就業服務法》，判刑5月確定。","""王世堅"" ""日成營造公司聘僱許可失效之外國人，違反《就業服務法》，判刑5月確定。"" 台北市","official","law.judicial.gov.tw","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=PCDM,88%2c%e6%98%93%2c3997%2c20001121","日成營造公司聘僱許可失效之外國人，違反《就業服務法》，判刑5月確定。","1","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=PCDM,88%2c%e6%98%93%2c3997%2c20001121","",""
"tnl-dark-guide-2022-tpe-4-6-涉案紀錄-4","manual_review","涉案紀錄","王世堅","d888dcb7-abda-48fd-8cd0-b973e0cf43e0","2022","台北市","因國民黨前主席連戰欲率團訪中，號召綠營支持者至機場表達抗議，犯妨害公務、演說侮辱他人罪，判刑6月確定。","""王世堅"" ""因國民黨前主席連戰欲率團訪中，號召綠營支持者至機場表達抗議，犯妨害公務、演說侮辱他人罪，判刑6月確定。"" 台北市","official","law.judicial.gov.tw","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TYDM,97%2c%e7%b0%a1%e4%b8%8a%2c384%2c20100528%2c1","因國民黨前主席連戰欲率團訪中，號召綠營支持者至機場表達抗議，犯妨害公務、演說侮辱他人罪，判刑6月確定。","1","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TYDM,97%2c%e7%b0%a1%e4%b8%8a%2c384%2c20100528%2c1","",""
"tnl-dark-guide-2022-tpe-4-6-涉案紀錄-3","manual_review","涉案紀錄","王世堅","d888dcb7-abda-48fd-8cd0-b973e0cf43e0","2022","台北市","在台北市議會議場內以「下三濫、不要臉」等言語辱罵市議員李慶元，涉及妨害名譽罪責，業經刑事法院判處罰金300元。","""王世堅"" ""在台北市議會議場內以「下三濫、不要臉」等言語辱罵市議員李慶元，涉及妨害名譽罪責，業經刑事法院判處罰金300元。"" 台北市","official","law.judicial.gov.tw","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHV%2C94%2C%E4%B8%8A%E6%98%93%2C461%2C20050906%2C1","在台北市議會議場內以「下三濫、不要臉」等言語辱罵市議員李慶元，涉及妨害名譽罪責，業經刑事法院判處罰金300元。","1","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHV%2C94%2C%E4%B8%8A%E6%98%93%2C461%2C20050906%2C1","",""
"tnl-dark-guide-2022-tpe-4-6-涉案紀錄-6","manual_review","涉案紀錄","王世堅","d888dcb7-abda-48fd-8cd0-b973e0cf43e0","2022","台北市","受訪時影射台北市前顧問洪智坤疑收遠雄的錢，犯誹謗罪，判拘役50日確定。","""王世堅"" ""受訪時影射台北市前顧問洪智坤疑收遠雄的錢，犯誹謗罪，判拘役50日確定。"" 台北市","official","law.judicial.gov.tw","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHM%2c105%2c%e4%b8%8a%e6%98%93%2c2058%2c20161220%2c1&ot=in","受訪時影射台北市前顧問洪智坤疑收遠雄的錢，犯誹謗罪，判拘役50日確定。","1","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHM%2c105%2c%e4%b8%8a%e6%98%93%2c2058%2c20161220%2c1&ot=in","",""
"tnl-dark-guide-2022-tpe-4-6-涉案紀錄-5","manual_review","涉案紀錄","王世堅","d888dcb7-abda-48fd-8cd0-b973e0cf43e0","2022","台北市","處理陳情期間辱罵員警，犯妨害公務罪，判拘役50日確定。","""王世堅"" ""處理陳情期間辱罵員警，犯妨害公務罪，判拘役50日確定。"" 台北市","official","law.judicial.gov.tw","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDM,95%2c%e7%b0%a1%2c2178%2c20060731%2c1","處理陳情期間辱罵員警，犯妨害公務罪，判拘役50日確定。","1","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDM,95%2c%e7%b0%a1%2c2178%2c20060731%2c1","",""
"tnl-dark-guide-2022-tpe-4-6-涉案紀錄-1","manual_review","涉案紀錄","王世堅","d888dcb7-abda-48fd-8cd0-b973e0cf43e0","2022","台北市","登載不實憑證逃漏稅，違反《商業會計法》等，判刑6月，緩刑3年確定。","""王世堅"" ""登載不實憑證逃漏稅，違反《商業會計法》等，判刑6月，緩刑3年確定。"" 台北市","official","law.judicial.gov.tw","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDM,88%2c%e8%a8%b4%2c500%2c20000822","登載不實憑證逃漏稅，違反《商業會計法》等，判刑6月，緩刑3年確定。","1","https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDM,88%2c%e8%a8%b4%2c500%2c20000822","",""
"tnl-dark-guide-2022-tpe-2-6-涉案紀錄-1","manual_review","涉案紀錄","王孝維","fa5f9237-db06-4630-b553-c50132cd518a","2022","台北市","曾犯下強盜罪，遭判刑3年6月，執行2年4月。","""王孝維"" ""曾犯下強盜罪，遭判刑3年6月，執行2年4月。"" 台北市","secondary","news.ltn.com.tw","https://news.ltn.com.tw/news/politics/breakingnews/3156534","曾犯下強盜罪，遭判刑3年6月，執行2年4月。","1","https://news.ltn.com.tw/news/politics/breakingnews/3156534","",""
